Staff_Id,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlySalary,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Quarter1_KPI_Score,Quarter2_KPI_Score,Quarter3_KPI_Score,Quarter4_KPI_Score
SN00150,56.0,Travel_Frequently,1240.0,Research & Development,9,3,Medical,1071,1,Female,3,1,Research Scientist,3,Married,2942,2,Y,No,19,3,2,80,1,18,4,3,5,4,0,3,70,49,82,71
SN00151,57.0,Travel_Rarely,405.0,Research & Development,1,2,Life Sciences,1483,2,Male,4,2,Research Scientist,3,Single,4900,0,Y,No,24,4,1,80,1,13,2,2,12,9,2,8,55,30,65,59
SN00152,57.0,Travel_Rarely,210.0,Sales,29,3,Marketing,568,1,Male,2,4,Manager,4,Divorced,14118,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0,53,47,73,65
SN00153,40.0,Travel_Rarely,804.0,Research & Development,2,1,Medical,763,4,Female,2,1,Research Scientist,4,Single,2342,0,Y,Yes,20,4,4,80,0,5,2,2,4,2,2,3,63,35,60,63
SN00155,53.0,Travel_Rarely,1395.0,Research & Development,24,4,Medical,1689,2,Male,4,3,Healthcare Representative,4,Married,7005,3,Y,No,15,3,3,80,0,11,2,3,4,3,1,2,61,41,58,65
SN00156,38.0,Travel_Frequently,148.0,Research & Development,2,3,Medical,1675,4,Female,2,1,Laboratory Technician,2,Single,2440,1,Y,No,22,4,2,80,0,4,3,3,4,3,3,3,55,44,73,69
SN00157,36.0,Travel_Rarely,1041.0,Human Resources,13,3,Human Resources,829,3,Male,3,1,Human Resources,2,Married,2143,4,Y,No,13,3,2,80,1,8,2,3,5,2,0,4,58,41,58,63
SN00158,29.0,Travel_Frequently,1413.0,Sales,1,1,Medical,312,2,Female,3,3,Sales Executive,4,Married,7918,1,Y,No,14,3,4,80,1,11,5,3,11,10,4,1,65,47,79,76
SN00159,38.0,Travel_Rarely,201.0,Research & Development,10,3,Medical,2015,2,Female,1,3,Research Director,3,Married,13206,3,Y,No,12,3,1,80,1,20,3,3,18,16,1,11,68,44,74,62
SN00160,47.0,Travel_Rarely,1180.0,Research & Development,25,3,Medical,1993,1,Male,3,3,Healthcare Representative,3,Single,8633,2,Y,No,23,4,2,80,0,25,3,3,17,14,12,11,53,44,71,67
SN00162,,Travel_Rarely,819.0,Research & Development,18,5,Life Sciences,1621,2,Male,4,2,Research Scientist,1,Married,5208,1,Y,No,11,3,4,80,0,16,2,3,16,15,1,10,53,37,58,61
SN00163,36.0,Travel_Frequently,1195.0,Research & Development,11,3,Life Sciences,85,2,Male,2,2,Manufacturing Director,2,Single,6499,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,60,44,68,70
SN00165,34.0,Travel_Rarely,121.0,Research & Development,2,4,Medical,804,3,Female,2,1,Research Scientist,1,Single,4381,1,Y,No,11,3,3,80,0,6,3,3,6,5,1,3,57,48,70,70
SN00166,39.0,Travel_Rarely,524.0,Research & Development,18,2,Life Sciences,1322,1,Male,3,2,Manufacturing Director,3,Single,4534,0,Y,No,11,3,1,80,0,9,6,3,8,7,1,7,81,51,91,80
SN00167,30.0,Non-Travel,829.0,Research & Development,1,1,Life Sciences,292,3,Male,2,3,Manufacturing Director,3,Single,8474,1,Y,No,22,4,3,80,0,12,2,3,11,8,5,8,63,39,64,64
SN00168,51.0,Travel_Frequently,541.0,Sales,2,3,Marketing,1391,2,Male,3,3,Sales Executive,2,Married,10596,2,Y,No,11,3,2,80,0,14,5,3,4,2,3,2,66,49,78,79
SN00169,,Travel_Rarely,735.0,Research & Development,6,1,Life Sciences,1291,3,Male,3,1,Research Scientist,3,Married,3506,0,Y,Yes,14,3,4,80,0,4,3,3,3,2,2,2,57,44,71,70
SN00170,60.0,Travel_Rarely,1179.0,Sales,16,4,Marketing,732,1,Male,3,2,Sales Executive,1,Single,5405,8,Y,No,14,3,4,80,0,10,1,3,2,2,2,2,52,31,58,57
SN00172,45.0,,950.0,Research & Development,28,3,Technical Degree,1546,4,Male,3,1,Research Scientist,4,Married,2132,4,Y,No,20,4,4,80,1,8,3,3,5,4,0,3,53,48,73,65
SN00173,56.0,Travel_Rarely,1400.0,Research & Development,7,3,Life Sciences,112,4,Male,1,3,Manufacturing Director,4,Single,7260,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2,56,43,69,67
SN00174,46.0,Travel_Rarely,706.0,Research & Development,2,2,Life Sciences,1857,4,Male,3,3,Manufacturing Director,4,Divorced,8578,3,Y,No,14,3,3,80,1,12,4,2,9,8,4,7,67,47,81,83
SN00175,42.0,Travel_Rarely,855.0,Research & Development,12,3,Medical,1768,2,Male,3,1,Laboratory Technician,2,Divorced,2766,8,Y,No,22,4,2,80,3,7,6,2,5,3,0,4,82,50,88,81
SN00176,60.0,Travel_Rarely,,Research & Development,1,4,Medical,1697,3,Male,1,3,Healthcare Representative,4,Divorced,10883,3,Y,No,20,4,3,80,1,19,2,4,1,0,0,0,54,36,64,63
SN00177,,Travel_Rarely,141.0,Sales,0,1,Other,879,3,Male,3,2,Sales Executive,1,Married,4194,1,Y,Yes,18,3,4,80,0,5,3,3,5,3,0,3,57,43,75,69
SN00178,,Non-Travel,280.0,Human Resources,1,2,Life Sciences,1858,3,Male,3,1,Human Resources,4,Divorced,2706,1,Y,No,15,3,2,80,1,3,2,3,3,2,2,2,53,32,59,59
SN00180,39.0,Travel_Rarely,867.0,Research & Development,9,2,Medical,1936,1,Male,3,2,Manufacturing Director,1,Married,5151,1,Y,No,25,4,4,80,1,10,3,3,10,0,7,9,64,46,70,66
SN00181,48.0,Travel_Rarely,1224.0,Research & Development,10,3,Life Sciences,1867,4,Male,2,5,Research Director,2,Married,19665,4,Y,No,12,3,4,80,0,29,3,3,22,10,12,9,59,46,71,64
SN00182,37.0,Travel_Rarely,228.0,Sales,6,4,Medical,378,3,Male,3,2,Sales Executive,4,Married,6502,4,Y,No,14,3,2,80,1,7,5,4,5,4,0,1,69,51,83,79
SN00183,41.0,Travel_Frequently,1200.0,Research & Development,22,3,Life Sciences,1392,4,Female,3,2,Research Scientist,4,Divorced,5467,3,Y,Yes,14,3,1,80,2,12,4,2,6,2,3,3,68,49,77,74
SN00184,21.0,Non-Travel,895.0,Sales,9,2,Medical,484,1,Male,3,1,Sales Representative,4,Single,2610,1,Y,No,24,4,3,80,0,3,3,2,3,2,2,2,54,47,69,64
SN00185,32.0,Travel_Rarely,117.0,Sales,13,4,Life Sciences,859,2,Male,3,2,Sales Executive,4,Divorced,4403,2,Y,No,11,3,3,80,1,8,3,2,5,2,0,3,52,46,65,63
SN00187,59.0,Travel_Rarely,1324.0,Research & Development,0,3,Medical,10,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,57,44,69,70
SN00188,45.0,Travel_Frequently,1249.0,Research & Development,7,3,Life Sciences,425,1,Male,3,3,Laboratory Technician,1,Divorced,5210,1,Y,No,18,3,1,80,1,24,2,3,24,9,9,11,55,38,62,64
SN00190,36.0,Travel_Frequently,469.0,Research & Development,0,3,Technical Degree,1257,3,Male,3,1,Research Scientist,2,Married,3692,1,Y,No,12,3,3,80,0,12,2,2,11,10,0,7,56,39,61,64
SN00191,41.0,Travel_Rarely,930.0,Sales,0,3,Life Sciences,2037,3,Male,2,2,Sales Executive,2,Divorced,8938,2,Y,No,11,3,3,80,1,14,5,3,5,4,0,4,66,48,77,77
SN00192,41.0,Travel_Rarely,896.0,Sales,6,3,Life Sciences,298,4,Female,3,3,Manager,4,Single,13591,3,Y,Yes,18,3,3,80,0,16,3,3,1,0,0,0,51,43,71,64
SN00193,42.0,Travel_Rarely,603.0,Research & Development,7,4,Medical,1292,2,Female,4,2,Research Scientist,2,Married,2372,6,Y,Yes,16,3,4,80,0,18,2,3,1,0,0,0,53,32,60,63
SN00194,42.0,Travel_Rarely,691.0,Sales,8,4,Marketing,35,3,Male,3,2,Sales Executive,2,Married,6825,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,51,31,64,60
SN00195,24.0,Non-Travel,830.0,Sales,13,2,Life Sciences,1495,4,Female,3,1,Sales Representative,2,Married,2033,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0,61,31,59,65
SN00197,43.0,Travel_Frequently,422.0,Research & Development,1,3,Life Sciences,902,4,Female,3,2,Healthcare Representative,4,Married,5562,4,Y,No,13,3,2,80,1,12,2,2,5,2,2,2,53,39,62,65
SN00198,,Travel_Rarely,583.0,Sales,4,1,Marketing,885,3,Male,2,2,Sales Executive,1,Married,4256,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,47,30,58,58
SN00199,38.0,Travel_Frequently,1391.0,Research & Development,10,1,Medical,1006,3,Male,3,1,Research Scientist,3,Married,2684,0,Y,No,17,3,2,80,1,3,0,2,2,1,0,2,50,24,57,53
SN00200,33.0,Travel_Rarely,516.0,Research & Development,8,5,Life Sciences,1515,4,Male,3,2,Healthcare Representative,3,Single,6388,2,Y,Yes,17,3,1,80,0,14,6,3,0,0,0,0,77,54,90,85
SN00201,53.0,Travel_Rarely,661.0,Sales,7,2,Marketing,862,1,Female,2,3,Sales Executive,4,Married,10934,7,Y,Yes,18,3,4,80,1,35,3,3,5,2,0,4,58,48,74,62
SN00202,43.0,Travel_Frequently,1082.0,Research & Development,27,3,Life Sciences,1126,3,Female,3,3,Manufacturing Director,1,Married,10820,8,Y,No,11,3,3,80,1,18,1,3,8,7,0,1,47,30,59,60
SN00203,42.0,Travel_Rarely,269.0,Research & Development,2,3,Medical,351,4,Female,2,1,Laboratory Technician,1,Divorced,2593,0,Y,Yes,11,3,3,80,1,10,4,3,9,6,7,8,63,47,78,75
SN00204,53.0,Travel_Rarely,1282.0,Research & Development,0,3,Other,32,3,Female,3,5,Manager,3,Divorced,19094,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,67,47,67,71
SN00206,29.0,Travel_Rarely,657.0,Research & Development,27,3,Medical,793,2,Female,3,2,Healthcare Representative,3,Married,4335,4,Y,No,12,3,1,80,1,11,3,2,8,7,1,1,57,43,66,69
SN00207,37.0,Travel_Rarely,408.0,Research & Development,19,2,Life Sciences,61,2,Male,3,1,Research Scientist,2,Married,3022,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,52,31,56,55
SN00208,50.0,Travel_Frequently,1115.0,Research & Development,1,3,Life Sciences,141,1,Female,3,5,Research Director,2,Married,18172,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7,50,29,56,58
SN00209,29.0,Non-Travel,746.0,Sales,2,3,Life Sciences,469,4,Male,3,2,Sales Executive,3,Married,4649,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2,68,48,68,64
SN00210,33.0,Travel_Frequently,515.0,Research & Development,1,2,Life Sciences,73,1,Female,3,3,Research Director,4,Single,13458,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,47,27,56,55
SN00211,55.0,Non-Travel,444.0,Research & Development,2,1,Medical,1074,3,Male,2,4,Manager,1,Single,16756,7,Y,No,15,3,2,80,0,31,3,4,9,7,6,2,52,43,72,66
SN00212,51.0,Travel_Rarely,1469.0,Research & Development,8,4,Life Sciences,296,2,Male,2,3,Research Director,2,Married,12490,5,Y,No,16,3,4,80,2,16,5,1,10,9,4,7,65,52,77,79
SN00213,30.0,Travel_Frequently,1312.0,Research & Development,23,3,Life Sciences,159,1,Male,1,1,Research Scientist,3,Divorced,2613,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9,51,32,65,60
SN00214,49.0,Travel_Rarely,1098.0,Research & Development,4,2,Medical,1256,1,Male,2,5,Manager,3,Married,18711,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,65,35,62,60
SN00215,47.0,Travel_Frequently,1379.0,Research & Development,16,4,Medical,987,3,Male,4,2,Manufacturing Director,3,Divorced,5067,1,Y,Yes,19,3,3,80,0,20,3,4,19,10,2,7,59,48,68,67
SN00216,31.0,Travel_Rarely,1082.0,Research & Development,1,4,Medical,95,3,Male,3,1,Research Scientist,2,Single,2501,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,69,49,81,79
SN00217,47.0,Travel_Rarely,207.0,Research & Development,9,4,Life Sciences,1856,2,Female,3,1,Laboratory Technician,3,Single,2105,4,Y,No,12,3,3,80,0,7,2,3,2,2,2,0,53,31,58,65
SN00218,58.0,Travel_Rarely,848.0,Research & Development,23,4,Life Sciences,1308,1,Male,3,1,Research Scientist,3,Divorced,2372,1,Y,No,12,3,4,80,2,2,3,3,2,2,2,2,59,43,70,68
SN00220,29.0,Travel_Rarely,468.0,Research & Development,28,4,Medical,2054,4,Female,2,1,Research Scientist,1,Single,3785,1,Y,No,14,3,2,80,0,5,3,1,5,4,0,4,63,43,71,67
SN00221,50.0,Travel_Rarely,1207.0,Research & Development,28,1,Medical,716,4,Male,4,1,Laboratory Technician,3,Married,3221,1,Y,Yes,11,3,3,80,3,20,3,3,20,8,3,8,63,44,68,66
SN00222,32.0,Travel_Rarely,267.0,Research & Development,29,4,Life Sciences,2010,3,Female,2,1,Laboratory Technician,2,Single,2837,1,Y,No,13,3,3,80,0,6,3,3,6,2,4,1,51,47,68,64
SN00223,44.0,Travel_Rarely,1313.0,Research & Development,7,3,Medical,1608,2,Female,3,5,Research Director,4,Divorced,19049,0,Y,Yes,14,3,4,80,1,23,4,2,22,7,1,10,62,49,76,77
SN00224,38.0,Travel_Rarely,433.0,Human Resources,1,3,Human Resources,1152,3,Male,4,1,Human Resources,3,Married,2844,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,51,41,61,61
SN00226,40.0,Travel_Frequently,580.0,Sales,0,4,Life Sciences,729,4,Male,2,3,Sales Executive,1,Married,10475,5,Y,Yes,21,4,3,80,1,20,2,3,18,13,1,12,61,35,58,62
SN00227,45.0,Travel_Rarely,252.0,Research & Development,2,3,Life Sciences,834,2,Female,2,1,Research Scientist,3,Single,2274,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0,52,47,72,68
SN00228,46.0,Travel_Frequently,1034.0,Research & Development,18,1,Medical,624,1,Female,3,3,Healthcare Representative,3,Married,10527,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2,67,46,65,70
SN00230,34.0,Travel_Rarely,181.0,Research & Development,2,4,Medical,1755,4,Male,4,1,Research Scientist,4,Married,2932,0,Y,Yes,14,3,1,80,3,6,3,3,5,0,1,2,53,47,74,71
SN00231,55.0,Travel_Frequently,135.0,Research & Development,18,4,Medical,1034,3,Male,3,2,Healthcare Representative,2,Married,6385,3,Y,Yes,14,3,4,80,2,17,3,3,8,7,6,7,53,48,68,63
SN00232,19.0,Travel_Rarely,265.0,Research & Development,25,3,Life Sciences,1269,2,Female,4,1,Research Scientist,4,Single,2994,1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1,64,32,65,59
SN00233,32.0,Travel_Rarely,427.0,Research & Development,1,3,Medical,78,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,59,48,67,71
SN00234,40.0,Non-Travel,663.0,Research & Development,9,4,Other,1449,3,Male,3,2,Laboratory Technician,3,Divorced,3975,3,Y,No,11,3,3,80,2,11,2,4,8,7,0,7,58,34,59,63
SN00235,30.0,Travel_Rarely,1334.0,Sales,4,2,Medical,121,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7,70,51,71,79
SN00237,48.0,Travel_Rarely,1469.0,Research & Development,20,4,Medical,945,4,Male,3,1,Research Scientist,3,Married,2259,4,Y,No,17,3,1,80,2,13,2,2,0,0,0,0,50,38,58,60
SN00238,45.0,Non-Travel,1195.0,Research & Development,2,2,Medical,264,1,Male,2,4,Manager,4,Married,16792,9,Y,No,23,4,4,80,1,22,1,3,20,8,11,8,51,27,58,57
SN00239,53.0,Travel_Rarely,1070.0,Research & Development,0,4,Medical,386,3,Male,3,4,Research Director,3,Married,17584,3,Y,Yes,16,3,4,80,3,21,5,2,5,3,1,3,70,48,76,71
SN00240,36.0,Travel_Frequently,541.0,Sales,0,4,Medical,481,1,Male,2,3,Sales Executive,4,Married,9699,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12,63,30,65,64
SN00241,29.0,Travel_Frequently,806.0,Research & Development,1,4,Life Sciences,710,2,Male,1,1,Research Scientist,4,Divorced,2720,1,Y,No,18,3,4,80,1,10,5,3,10,7,2,8,62,48,79,79
SN00242,46.0,Travel_Rarely,1003.0,Research & Development,8,4,Life Sciences,1080,4,Female,2,2,Research Scientist,1,Divorced,4615,8,Y,Yes,23,4,1,80,3,19,2,3,16,13,1,7,65,36,61,59
SN00243,41.0,Travel_Rarely,549.0,Research & Development,7,2,Medical,1025,4,Female,3,2,Manufacturing Director,3,Single,5003,6,Y,No,14,3,2,80,0,8,6,3,2,2,2,1,77,52,84,81
SN00245,52.0,Travel_Frequently,322.0,Research & Development,28,2,Medical,1401,4,Female,4,4,Manufacturing Director,3,Married,13247,2,Y,Yes,11,3,2,80,1,24,3,2,5,3,0,2,58,44,75,69
SN00246,51.0,Travel_Frequently,1456.0,Research & Development,1,4,Medical,145,1,Female,2,3,Healthcare Representative,1,Single,7484,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8,45,29,57,54
SN00248,36.0,Travel_Rarely,1157.0,Sales,2,4,Life Sciences,1556,3,Male,3,1,Sales Representative,4,Single,2644,3,Y,Yes,21,4,4,80,0,7,3,2,3,2,1,2,65,43,68,65
SN00250,31.0,Travel_Frequently,715.0,Sales,2,4,Other,1613,4,Male,3,2,Sales Executive,1,Single,5332,7,Y,No,13,3,4,80,0,10,3,3,5,2,0,3,55,48,71,62
SN00251,44.0,Travel_Rarely,1488.0,Sales,1,5,Marketing,68,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,61,39,61,60
SN00252,30.0,Travel_Rarely,,Sales,27,5,Marketing,747,3,Male,3,2,Sales Executive,4,Divorced,5304,7,Y,No,23,4,4,80,1,10,2,2,8,7,7,7,64,35,63,65
SN00255,,Travel_Rarely,1451.0,Research & Development,2,1,Life Sciences,1136,1,Male,2,1,Research Scientist,2,Married,3201,0,Y,No,17,3,1,80,0,6,2,1,5,3,0,4,50,34,64,59
SN00256,24.0,,1206.0,Research & Development,17,1,Medical,1009,4,Female,2,2,Manufacturing Director,3,Divorced,4377,1,Y,No,15,3,2,80,2,5,6,3,4,2,3,2,80,54,86,84
SN00257,50.0,Travel_Rarely,328.0,Research & Development,1,3,Medical,249,3,Male,2,1,Laboratory Technician,3,Married,3690,2,Y,No,15,3,4,80,1,5,2,2,3,2,0,2,63,31,64,59
SN00258,39.0,Travel_Rarely,1329.0,Sales,4,4,Life Sciences,182,4,Female,2,2,Sales Executive,3,Married,5902,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9,52,29,58,57
SN00259,30.0,Non-Travel,879.0,Research & Development,9,2,Medical,1298,3,Female,3,2,Manufacturing Director,3,Single,4695,7,Y,Yes,18,3,3,80,0,10,3,3,8,4,1,7,65,44,75,62
SN00260,30.0,Travel_Rarely,852.0,Research & Development,1,1,Life Sciences,104,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0,50,26,59,57
SN00261,29.0,,991.0,Sales,0,3,Medical,1669,1,Male,2,2,Sales Executive,2,Divorced,4187,1,Y,Yes,13,3,2,80,1,10,3,2,10,0,0,9,52,46,66,70
SN00262,59.0,Non-Travel,1420.0,Human Resources,2,4,Human Resources,140,3,Female,2,5,Manager,4,Married,18844,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2,66,46,68,65
SN00263,36.0,Non-Travel,427.0,Research & Development,8,3,Life Sciences,742,1,Female,4,3,Research Director,1,Married,11713,9,Y,No,14,3,1,80,1,10,2,3,8,7,0,5,63,41,62,59
SN00266,50.0,Travel_Rarely,1452.0,Research & Development,11,3,Life Sciences,226,3,Female,3,5,Manager,2,Single,19926,3,Y,No,15,3,2,80,0,21,5,3,5,4,4,4,66,52,76,72
SN00267,37.0,Travel_Rarely,1017.0,Research & Development,1,2,Medical,340,3,Female,2,1,Research Scientist,1,Married,3920,2,Y,No,14,3,1,80,1,17,2,2,3,1,0,2,65,37,62,59
SN00268,38.0,Travel_Rarely,849.0,Research & Development,25,2,Life Sciences,421,1,Female,2,3,Research Director,2,Married,12061,3,Y,No,17,3,3,80,1,19,2,3,10,8,0,1,58,32,61,60
SN00269,41.0,Non-Travel,267.0,Sales,10,2,Life Sciences,599,4,Male,3,2,Sales Executive,4,Single,6230,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,50,44,65,71
SN00270,29.0,Travel_Rarely,590.0,Research & Development,4,3,Technical Degree,1762,4,Female,2,1,Research Scientist,1,Divorced,2109,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0,54,39,62,62
SN00271,45.0,Travel_Rarely,549.0,Research & Development,8,4,Other,452,4,Male,3,2,Research Scientist,4,Married,3697,9,Y,No,14,3,1,80,2,12,3,3,10,9,9,8,52,44,67,68
SN00272,,Non-Travel,120.0,Sales,4,3,Medical,129,2,Male,3,2,Sales Executive,3,Married,4221,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,65,44,72,64
SN00273,29.0,Travel_Rarely,136.0,Research & Development,1,3,Life Sciences,1954,1,Male,3,2,Healthcare Representative,1,Married,5373,0,Y,No,12,3,1,80,1,6,5,2,5,3,0,2,70,49,82,83
SN00274,42.0,Travel_Rarely,469.0,Research & Development,2,2,Medical,1109,4,Male,3,4,Manager,1,Married,17665,0,Y,No,17,3,4,80,1,23,3,3,22,6,13,7,60,44,67,67
SN00275,48.0,Travel_Rarely,715.0,Research & Development,1,3,Life Sciences,1263,4,Male,2,5,Research Director,4,Single,18265,6,Y,No,12,3,3,80,0,25,3,4,1,0,0,0,60,43,75,69
SN00277,31.0,Travel_Rarely,1274.0,Research & Development,9,1,Life Sciences,581,3,Male,3,3,Manufacturing Director,2,Divorced,10648,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8,70,50,83,82
SN00278,41.0,Non-Travel,552.0,Human Resources,4,3,Human Resources,1722,3,Male,1,2,Human Resources,2,Married,6430,6,Y,No,19,3,2,80,1,10,4,3,3,2,1,2,61,46,77,74
SN00280,42.0,Travel_Rarely,647.0,Sales,4,4,Marketing,1171,2,Male,3,2,Sales Executive,1,Single,5155,7,Y,No,13,3,4,80,0,9,3,4,6,4,1,5,58,45,68,71
SN00281,36.0,Travel_Rarely,1120.0,Sales,11,4,Marketing,2045,2,Female,2,2,Sales Executive,4,Married,6652,4,Y,No,13,3,1,80,1,8,2,2,6,3,0,0,54,33,63,62
SN00282,,Travel_Rarely,1476.0,Research & Development,16,2,Medical,412,2,Male,4,2,Healthcare Representative,1,Single,5661,0,Y,No,19,3,3,80,0,9,2,3,8,3,0,7,64,41,58,63
SN00284,36.0,Travel_Rarely,1351.0,Research & Development,26,4,Life Sciences,1682,1,Male,3,2,Healthcare Representative,3,Married,5347,6,Y,No,14,3,2,80,2,10,2,2,3,2,0,2,61,33,60,64
SN00285,42.0,Travel_Rarely,201.0,Research & Development,1,4,Life Sciences,517,2,Female,3,1,Laboratory Technician,1,Divorced,2576,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2,70,52,80,72
SN00286,43.0,Travel_Rarely,1034.0,Sales,16,3,Marketing,327,4,Female,3,4,Manager,4,Married,16064,5,Y,Yes,22,4,3,80,1,22,3,3,17,13,1,9,66,46,67,64
SN00287,36.0,Travel_Rarely,530.0,Sales,2,4,Life Sciences,1710,3,Female,3,2,Sales Representative,4,Single,4502,3,Y,No,15,3,3,80,0,17,2,2,13,7,6,7,53,31,63,60
SN00288,,Non-Travel,675.0,Research & Development,0,2,Life Sciences,369,2,Male,4,2,Healthcare Representative,1,Divorced,4000,1,Y,No,12,3,4,80,2,6,2,3,6,3,1,5,61,39,61,64
SN00289,36.0,Non-Travel,1105.0,Research & Development,24,4,Life Sciences,419,2,Female,3,2,Laboratory Technician,2,Married,5674,7,Y,No,15,3,3,80,1,11,3,3,9,8,0,8,50,44,72,63
SN00290,36.0,Travel_Frequently,1467.0,Sales,11,2,Technical Degree,154,2,Female,3,3,Sales Executive,4,Married,9738,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8,73,53,85,81
SN00291,38.0,Travel_Frequently,1189.0,Research & Development,1,3,Life Sciences,1668,4,Male,3,2,Research Scientist,4,Married,4735,7,Y,No,15,3,4,80,2,19,4,4,13,11,2,9,68,50,77,71
SN00292,33.0,Travel_Rarely,1198.0,Research & Development,1,4,Other,939,3,Male,2,1,Research Scientist,1,Single,2799,3,Y,Yes,11,3,2,80,0,6,1,3,3,2,0,2,49,30,57,54
SN00293,45.0,Travel_Frequently,1199.0,Research & Development,7,4,Life Sciences,341,1,Male,4,2,Manufacturing Director,3,Married,6434,4,Y,No,17,3,4,80,1,9,1,3,3,2,0,2,45,32,59,58
SN00294,27.0,Travel_Rarely,511.0,Sales,2,2,Medical,1898,1,Female,4,2,Sales Executive,3,Single,6500,0,Y,No,14,3,2,80,0,9,5,2,8,7,0,7,61,52,81,77
SN00296,29.0,Travel_Rarely,1328.0,Research & Development,2,3,Life Sciences,94,3,Male,3,1,Research Scientist,2,Married,2703,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,60,44,65,68
SN00297,32.0,Travel_Rarely,1093.0,Sales,6,4,Medical,125,2,Male,3,2,Sales Executive,3,Single,5010,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7,48,24,56,54
SN00298,46.0,Travel_Rarely,406.0,Sales,0,1,Marketing,1124,1,Male,3,4,Manager,3,Married,17465,3,Y,No,12,3,4,80,1,23,3,3,12,9,4,9,52,46,68,66
SN00300,44.0,Travel_Rarely,136.0,Research & Development,28,3,Life Sciences,1523,4,Male,3,4,Research Director,1,Married,16328,3,Y,No,13,3,3,80,1,24,1,4,20,6,14,17,47,28,56,55
SN00301,40.0,Travel_Rarely,302.0,Research & Development,6,3,Life Sciences,601,2,Female,3,4,Manufacturing Director,3,Single,13237,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,52,45,65,65
SN00302,55.0,Travel_Rarely,1117.0,Sales,18,5,Life Sciences,597,1,Female,3,4,Manager,2,Single,16835,3,Y,No,23,4,4,80,0,37,2,3,10,9,7,7,56,30,63,60
SN00303,41.0,Travel_Frequently,840.0,Research & Development,9,3,Medical,999,1,Male,3,5,Research Director,3,Divorced,19419,2,Y,No,17,3,2,80,1,21,2,4,18,16,0,11,53,34,59,64
SN00305,38.0,Travel_Rarely,437.0,Sales,16,3,Life Sciences,1583,2,Female,3,2,Sales Executive,2,Single,4198,2,Y,No,12,3,2,80,0,8,5,4,3,2,1,2,70,49,77,71
SN00307,,Travel_Rarely,652.0,Research & Development,7,3,Other,1417,3,Male,4,1,Laboratory Technician,1,Single,3578,0,Y,No,12,3,4,80,0,8,2,3,7,7,0,7,55,30,59,60
SN00308,45.0,Travel_Rarely,193.0,Research & Development,6,4,Other,101,4,Male,3,3,Research Director,1,Married,13245,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0,53,45,66,68
