staff_id,age,gender,department,jobrole,total_kpi_scores
SN00978,32,Female,"Research & Development","Manufacturing Director",57
SN00981,41,Male,"Research & Development","Research Scientist",51
SN00983,24,Female,"Research & Development","Manufacturing Director",59
SN00984,53,Male,Sales,"Sales Executive",57
SN00985,47,Female,"Human Resources",Manager,52
SN00987,34,Male,Sales,"Sales Executive",54
SN00989,32,Female,Sales,"Sales Executive",54
SN00990,41,Male,"Research & Development","Laboratory Technician",58
SN00991,40,Male,"Research & Development","Research Scientist",43
SN00994,52,Male,"Research & Development",Manager,46
SN00995,54,Male,"Human Resources","Human Resources",42
SN00996,23,Male,"Research & Development","Laboratory Technician",54
SN00997,24,Male,"Research & Development","Research Scientist",54
SN00998,20,Male,"Research & Development","Laboratory Technician",48
SN00999,38,Male,Sales,"Sales Executive",44
SN01000,29,Male,"Research & Development","Research Scientist",44
SN01003,41,Female,"Research & Development","Healthcare Representative",56
SN01009,45,Female,Sales,"Sales Executive",51
SN01010,39,Male,"Research & Development",Manager,58
SN01011,29,Female,Sales,"Sales Executive",55
SN01014,43,Female,"Research & Development","Research Scientist",49
SN01019,43,Female,"Research & Development","Laboratory Technician",59
SN01020,23,Female,"Research & Development","Laboratory Technician",56
SN01021,41,Female,Sales,Manager,49
SN01022,33,Male,Sales,"Sales Executive",52
SN01023,49,Male,"Research & Development","Healthcare Representative",39
SN01024,33,Male,"Research & Development","Laboratory Technician",59
SN01026,41,Male,"Research & Development","Healthcare Representative",55
SN01028,29,Male,"Research & Development","Laboratory Technician",51
SN01029,50,Male,Sales,Manager,52
